Symbol,Name,Last price,Market time,Change,% change,Volume,Avg vol (3-month),Market cap,,,
MOTHERSUMI.BO,Motherson Sumi Systems Limited,118.85,9:51AM IST,4.5,3.94%,"1,72,333","6,72,761",375.299B,,,
MARUTI.BO,Maruti Suzuki India Limited,"7,000.00",9:51AM IST,52.4,0.75%,"3,262","62,639",2.115T,,,
TATAMOTORS.BO,Tata Motors Limited,171.25,9:51AM IST,1.85,1.09%,"2,07,364",1.678M,542.037B,,,
M&M.BO,Mahindra & Mahindra Limited,643.55,9:50AM IST,-0.45,-0.07%,"12,275","5,23,389",699.12B,,,
EICHERMOT.BO,Eicher Motors Limited,"20,188.10",9:50AM IST,200.4,1.00%,370,"4,514",550.893B,,,
HEROMOTOCO.BO,Hero MotoCorp Limited,"2,772.20",9:51AM IST,11.55,0.42%,"4,669","35,982",553.683B,,,
MRF.BO,MRF Limited,"55,799.95",9:49AM IST,192.8,0.35%,112,601,236.655B,,,
ASHOKLEY.BO,Ashok Leyland Limited,90.9,9:50AM IST,0.9,1.00%,"1,59,533",1.627M,266.84B,,,
BAJAJ-AUTO.BO,Bajaj Auto Limited,"2,990.90",9:51AM IST,26.85,0.91%,"2,919","43,852",864.693B,,,
BHARATFORG.BO,Bharat Forge Limited,462.4,9:49AM IST,5.55,1.21%,"6,660","72,652",215.248B,,,
EXIDEIND.BO,Exide Industries Limited,209.55,9:50AM IST,-0.75,-0.36%,"4,787","1,66,877",178.118B,,,
BOSCHLTD.BO,Bosch Limited,"17,261.80",9:47AM IST,215.05,1.26%,21,"1,110",509.113B,,,
CUMMINSIND.BO,Cummins India Limited,773,9:51AM IST,7.65,1.00%,536,"29,576",214.276B,,,
