Symbol,Name,Last price,Market time,Change,% change,Volume,Avg vol (3-month),Market cap,,,
SBIN.BO,State Bank of India,345.15,9:35AM IST,3.5,1.02%,97.256k,1.479M,3.053T,,,
AXISBANK.BO,Axis Bank Limited,811.95,9:35AM IST,7.75,0.96%,16.685k,"4,56,150",2.106T,,,
ICICIBANK.BO,ICICI Bank Limited,420,9:35AM IST,3.15,0.76%,72.902k,"9,60,022",2.687T,,,
HDFC.BO,Housing Development Finance Corporation Limited,"2,214.95",9:35AM IST,5.95,0.27%,2.633k,"92,368",3.79T,,,
BANKBARODA.BO,Bank of Baroda,122.3,9:35AM IST,1.05,0.87%,195.061k,1.232M,414.453B,,,
CANBK.BO,Canara Bank,265.8,9:35AM IST,3.9,1.49%,29.270k,"3,05,367",197.275B,,,
BHARATFIN.BO,Bharat Financial Inclusion Limited,989.55,9:35AM IST,10.35,1.06%,2.693k,"48,707",137.315B,,,
YESBANK.BO,Yes Bank Limited,143.3,9:35AM IST,3.35,2.39%,567.093k,3.914M,324.142B,,,
INDUSINDBK.BO,IndusInd Bank Limited,"1,574.70",9:35AM IST,23.8,1.53%,14.849k,"1,69,831",935.143B,,,
FEDERALBNK.BO,The Federal Bank Limited,106,9:35AM IST,0,0.00%,30.625k,"8,45,902",210.254B,,,
LICHSGFIN.BO,LIC Housing Finance Limited,559,9:34AM IST,3.65,0.66%,5.332k,"89,936",280.061B,,,
PNB.BO,Punjab National Bank,79.8,9:35AM IST,0.55,0.69%,297.448k,2.206M,364.871B,,,
RELCAPITAL.BO,Reliance Capital Limited,94.15,9:35AM IST,-5.9,-5.90%,714.976k,1.691M,25.258B,,,
IBULHSGFIN.BO,Indiabulls Housing Finance Limited,751,9:35AM IST,18.15,2.48%,66.095k,"6,12,528",313.348B,,,
MCX.BO,Multi Commodity Exchange of India Limited,806.5,9:35AM IST,4.55,0.57%,1.557k,"29,388",40.977B,,,
