Symbol,Name,Last price,Market time,Change,% change,Volume,Avg vol (3-month),Market cap,,,
LALPATHLAB.BO,Dr. Lal PathLabs Limited,"1,047.00",3:28PM IST,6.95,0.67%,"1,484","7,558",87.259B,,,
DIVISLAB.BO,Divi's Laboratories Limited,"1,572.00",9:33AM IST,7.6,0.49%,1.979k,"21,609",415.791B,,,
BIOCON.BO,Biocon Limited,531.7,9:35AM IST,3.25,0.62%,20.744k,"1,06,382",312.548B,,,
LUPIN.BO,Lupin Limited,729.75,9:35AM IST,-0.05,-0.01%,7.993k,"1,07,447",330.267B,,,
CIPLA.BO,Cipla Limited,552.5,9:35AM IST,2.9,0.53%,5.063k,"2,50,606",442.433B,,,
SUNPHARMA.BO,Sun Pharmaceutical Industries Limited,399.95,9:35AM IST,0.4,0.10%,18.151k,"4,39,478",957.933B,,,
AUROPHARMA.BO,Aurobindo Pharma Limited,621.5,9:35AM IST,1.7,0.27%,8.199k,"1,10,877",362.916B,,,
JUBILANT.BO,Jubilant Life Sciences Limited,478.4,9:35AM IST,2.85,0.60%,4.066k,"89,918",74.008B,,,
WOCKPHARMA.BO,Wockhardt Limited,382.6,9:35AM IST,2.1,0.55%,12.782k,"1,35,174",42.151B,,,
DRREDDY.BO,Dr. Reddy's Laboratories Limited,"2,580.00",9:35AM IST,-2.75,-0.11%,6.297k,"27,421",428.767B,,,
CADILAHC.BO,Cadila Healthcare Limited,243.6,9:34AM IST,0.9,0.37%,4.335k,"1,14,796",248.462B,,,
FORTIS.BO,Fortis Healthcare Limited,123.4,9:35AM IST,1.1,0.90%,14.659k,"31,816",92.256B,,,
SUVEN.BO,Suven Life Sciences Limited,272.9,9:35AM IST,1.55,0.57%,1.791k,"35,078",34.538B,,,
MOREPENLAB.BO,Morepen Laboratories Limited,19.8,9:28AM IST,-0.05,-0.25%,4.545k,"1,14,731",8.974B,,,
STAR.BO,Strides Shasun Limited,416.75,9:35AM IST,0.65,0.16%,11.149k,"92,558",37.301B,,,
